  1     508    3944     325     235
  2     564    4578     323     231
  3     322    4011     328     270
  4     846    5233     305     261
  5     871    4780     303     300
  6     774    5889     307     317
  7     856    5663     301     387
  8     889    5759     310     285
  9     715    4894     300     300
 10     753    5012     324     221
 11     649    4908     329     264
 12     830    5753     320     308
 13     738    5439     337     379
 14     659    4634     328     342
 15     664    4921     330     378
 16     572    4869     318     232
 17     701    4672     309     231
 18     443    4782     333     246
 19     446    4296     330     230
 20     615    4827     318     268
 21     661    5057     304     337
 22     722    5540     328     344
 23     766    5331     323     330
 24     631    4715     317     261
 25     390    3828     310     214
 26     450    4120     321     245
 27     476    3817     342     233
 28     603    4243     339     250
 29     805    4647     287     243
 30     523    3967     325     216
 31     588    3946     315     212
 32     584    3724     332     208
 33     445    3448     358     215
 34     500    3680     320     221
 35     661    3825     355     244
 36     680    4189     306     234
 37     797    4336     335     269
 38     534    4418     335     302
 39     541    4323     344     268
 40     605    4813     331     323
 41     785    5046     324     304
 42     698    3764     366     317
 43     796    4504     340     332
 44     804    4005     378     315
 45     809    5560     330     291
 46     726    4989     313     312
 47     671    4697     305     316
 48     909    5438     307     332
 49     831    5309     333     311
 50     484    5613     386     546

