          1.0000000        50.0000000  4.400000E-001
          2.0000000        51.0000000  4.700000E-001
          3.0000000        52.0000000  4.700000E-001
          4.0000000        53.0000000  5.900000E-001
          5.0000000        54.0000000  6.600000E-001
          6.0000000        55.0000000  7.300000E-001
          7.0000000        56.0000000  8.100000E-001
          8.0000000        57.0000000  8.800000E-001
          9.0000000        58.0000000         1.0600000
         10.0000000        59.0000000         1.2000000
         11.0000000        60.0000000         1.3500000
         12.0000000        61.0000000         1.4900000
         13.0000000        62.0000000         1.6100000
         14.0000000        63.0000000         2.1200000
         15.0000000        64.0000000        11.9000000
         16.0000000        65.0000000        12.4000000
         17.0000000        66.0000000        14.2000000
         18.0000000        67.0000000        15.9000000
         19.0000000        68.0000000        18.2000000
         20.0000000        69.0000000        21.2000000
         21.0000000        70.0000000         4.3000000
         22.0000000        71.0000000         2.4000000
         23.0000000        72.0000000         2.7000000
         24.0000000        73.0000000         2.9000000

