   1          1        0        0        0        1
   2          0        1        0        0        2
   3          0        1        1        0        5
   4          0        0        1        1        7
   5          1        1        0        1        7
   6          1        1        1        0        6
   7          0        1        1        1        9
   8          1        0        0        1        5
   9          1        1        1        1       10
  10          0        1        0        1        6
  11          1        0        1        0        4
  12          1        0        1        1        8
  13          1        0        2        3       19
  14          2        0        1        3       17
  15          1        2        3        0       14
  16          2        3        1        0       11
  17          2        0        3        1       15
  18          2        1        1        3       19
  19          1        0        2        1       11
  20          1        1        2        2       17
  21          1        2        0        1       11
  22          2        1        0        1       10
  23          2        2        1        0       15
  24          1        1        2        2       20
  25          1        2        3        4       40

