   1                 1.0                 1.1
   2                 1.0                 0.7
   3                 1.0                 1.8
   4                 1.0                 0.4
   5                 3.0                 3.0
   6                 3.0                 1.4
   7                 3.0                 4.9
   8                 3.0                 4.4
   9                 3.0                 4.5
  10                 5.0                 7.3
  11                 5.0                 8.2
  12                 5.0                 6.2
  13                10.0                12.0
  14                10.0                13.1
  15                10.0                12.6
  16                10.0                13.2
  17                15.0                18.7
  18                15.0                19.7
  19                15.0                17.4
  20                15.0                17.1

